Player,Team,Pos,Tgt,Rec,Yds,Y/R,TD,R/G,Y/G,Ctch%,Y/Tgt,Fmb,-9999
Trey McBride,ARI,TE,118,88,879,10.0,8,7.3,73.3,74.6,7.4,0,McBrTr01
Ja'Marr Chase,CIN,WR,131,86,971,11.3,5,7.8,88.3,65.6,7.4,1,ChasJa00
Puka Nacua,LAR,WR,107,86,1019,11.8,4,7.8,92.6,80.4,9.5,1,NacuPu00
Christian McCaffrey,SFO,RB,107,85,806,9.5,5,6.5,62.0,79.4,7.5,2,McCaCh01
Jaxon Smith-Njigba,SEA,WR,111,82,1336,16.3,7,6.8,111.3,73.9,12.0,2,SmitJa06
Amon-Ra St. Brown,DET,WR,108,75,884,11.8,9,6.3,73.7,69.4,8.2,1,StxxAm00
Chris Olave,NOR,WR,115,73,781,10.7,5,6.1,65.1,63.5,6.8,0,OlavCh00
George Pickens,DAL,WR,105,73,1142,15.6,8,6.1,95.2,69.5,10.9,3,PickGe00
Wan'Dale Robinson,NYG,WR,110,73,828,11.3,3,5.6,63.7,66.4,7.5,1,RobiWa01
Jake Ferguson,DAL,TE,83,70,496,7.1,7,5.8,41.3,84.3,6.0,2,FergJa00
Stefon Diggs,NWE,WR,79,64,705,11.0,3,4.9,54.2,81.0,8.9,0,DiggSt00
Justin Jefferson,MIN,WR,105,62,799,12.9,2,5.2,66.6,59.0,7.6,0,JeffJu00
Keenan Allen,LAC,WR,91,60,622,10.4,4,5.0,51.8,65.9,6.8,1,AlleKe00
Zay Flowers,BAL,WR,84,60,767,12.8,1,5.0,63.9,71.4,9.1,2,FlowZa00
Drake London,ATL,WR,94,60,810,13.5,6,6.7,90.0,63.8,8.6,1,LondDr00
Michael Pittman Jr.,IND,WR,82,60,620,10.3,7,5.0,51.7,73.2,7.6,0,PittMi01
DeVonta Smith,PHI,WR,86,60,802,13.4,3,5.0,66.8,69.8,9.3,0,SmitDe07
Travis Kelce,KAN,TE,78,59,719,12.2,5,4.9,59.9,75.6,9.2,0,KelcTr00
Dalton Schultz,HOU,TE,80,59,552,9.4,1,4.9,46.0,73.8,6.9,0,SchuDa00
Ladd McConkey,LAC,WR,90,58,683,11.8,5,4.8,56.9,64.4,7.6,0,McCoLa00
Deebo Samuel,WAS,WR,75,58,534,9.2,5,5.3,48.5,77.3,7.1,2,SamuDe00
Tyler Warren,IND,TE,78,58,684,11.8,4,4.8,57.0,74.4,8.8,1,WarrTy00
Nico Collins,HOU,WR,95,57,795,13.9,4,5.2,72.3,60.0,8.4,1,CollNi00
Tetairoa McMillan,CAR,WR,98,57,826,14.5,6,4.4,63.5,58.2,8.4,0,McMiTe00
A.J. Brown,PHI,WR,87,56,699,12.5,6,5.1,63.5,64.4,8.0,0,BrowAJ00
Kyle Pitts,ATL,TE,75,56,541,9.7,1,4.7,45.1,74.7,7.2,0,PittKy00
Khalil Shakir,BUF,WR,75,55,569,10.3,3,4.6,47.4,73.3,7.6,1,ShakKh00
De'Von Achane,MIA,RB,72,54,370,6.9,4,4.5,30.8,75.0,5.1,1,AchaDe00
Juwan Johnson,NOR,TE,76,54,576,10.7,3,4.5,48.0,71.1,7.6,1,JohnJu02
Bijan Robinson,ATL,RB,68,54,594,11.0,2,4.5,49.5,79.4,8.7,2,RobiBi01
Davante Adams,LAR,WR,99,52,689,13.3,14,4.3,57.4,52.5,7.0,0,AdamDa01
Emeka Egbuka,TAM,WR,101,52,791,15.2,6,4.3,65.9,51.5,7.8,0,EgbuEm01
Jaylen Waddle,MIA,WR,79,52,762,14.7,5,4.3,63.5,65.8,9.6,0,WaddJa00
Harold Fannin,CLE,TE,74,51,505,9.9,3,4.3,42.1,68.9,6.8,1,FannHa00
Jahmyr Gibbs,DET,RB,59,51,397,7.8,3,4.3,33.1,86.4,6.7,0,GibbJa01
CeeDee Lamb,DAL,WR,81,51,744,14.6,3,5.7,82.7,63.0,9.2,0,LambCe00
Jakobi Meyers,2TM,WR,70,51,597,11.7,2,4.6,54.3,72.9,8.5,0,MeyeJa01
Jakobi Meyers,LVR,WR,49,33,352,10.7,0,4.7,50.3,67.3,7.2,0,MeyeJa01
Jakobi Meyers,JAX,WR,21,18,245,13.6,2,4.5,61.3,85.7,11.7,0,MeyeJa01
Courtland Sutton,DEN,WR,80,50,711,14.2,5,4.2,59.3,62.5,8.9,0,SuttCo00
Michael Wilson,ARI,WR,78,50,570,11.4,1,4.2,47.5,64.1,7.3,0,WilsMi02
Brock Bowers,LVR,TE,68,49,573,11.7,5,5.4,63.7,72.1,8.4,0,BoweBr01
Zach Ertz,WAS,TE,70,49,493,10.1,4,4.1,41.1,70.0,7.0,1,ErtzZa00
Chase Brown,CIN,RB,64,48,287,6.0,1,4.0,23.9,75.0,4.5,2,BrowCh10
Troy Franklin,DEN,WR,84,48,530,11.0,5,4.0,44.2,57.1,6.3,1,FranTr00
Rashid Shaheed,2TM,WR,77,48,536,11.2,2,3.7,41.2,62.3,7.0,2,ShahRa00
Rashid Shaheed,NOR,WR,66,44,499,11.3,2,4.9,55.4,66.7,7.6,1,ShahRa00
Rashid Shaheed,SEA,WR,11,4,37,9.3,0,1.0,9.3,36.4,3.4,1,ShahRa00
Romeo Doubs,GNB,WR,71,45,542,12.0,5,3.8,45.2,63.4,7.6,1,DoubRo00
Hunter Henry,NWE,TE,69,45,610,13.6,5,3.5,46.9,65.2,8.8,0,HenrHu00
D.K. Metcalf,PIT,WR,75,45,605,13.4,5,3.8,50.4,60.0,8.1,0,MetcDK00
Kenneth Gainwell,PIT,RB,51,44,259,5.9,2,3.7,21.6,86.3,5.1,2,GainKe00
T.J. Hockenson,MIN,TE,57,44,358,8.1,2,3.7,29.8,77.2,6.3,0,HockTJ00
Rome Odunze,CHI,WR,90,44,661,15.0,6,3.7,55.1,48.9,7.3,0,OdunRo00
Tre Tucker,LVR,WR,67,44,550,12.5,5,3.7,45.8,65.7,8.2,0,TuckTr00
Ashton Jeanty,LVR,RB,54,43,251,5.8,4,3.6,20.9,79.6,4.6,2,JeanAs00
Cade Otton,TAM,TE,62,43,411,9.6,0,3.6,34.3,69.4,6.6,0,OttoCa00
Theo Johnson,NYG,TE,68,42,456,10.9,5,3.2,35.1,61.8,6.7,0,JohnTh00
Rashee Rice,KAN,WR,59,42,486,11.6,5,7.0,81.0,71.2,8.2,2,RiceRa01
Marquise Brown,KAN,WR,60,41,459,11.2,5,3.4,38.3,68.3,7.7,1,BrowMa04
Jauan Jennings,SFO,WR,69,41,458,11.2,5,3.7,41.6,59.4,6.6,1,JennJa00
Josh Downs,IND,WR,59,40,370,9.3,3,3.6,33.6,67.8,6.3,1,DownJo00
Dallas Goedert,PHI,TE,56,40,403,10.1,7,3.6,36.6,71.4,7.2,0,GoedDa00
Marvin Harrison Jr.,ARI,WR,69,40,594,14.9,4,4.0,59.4,58.0,8.6,0,HarrMa09
Tee Higgins,CIN,WR,70,40,575,14.4,7,3.6,52.3,57.1,8.2,0,HiggTe00
Quentin Johnston,LAC,WR,68,40,525,13.1,7,3.6,47.7,58.8,7.7,1,JohnQu02
Sam LaPorta,DET,TE,49,40,489,12.2,3,4.4,54.3,81.6,10.0,0,LaPoSa01
Chigoziem Okonkwo,TEN,TE,51,39,406,10.4,0,3.3,33.8,76.5,8.0,0,OkonCh00
Mason Taylor,NYJ,TE,57,39,318,8.2,1,3.3,26.5,68.4,5.6,0,TaylMa02
